has_imdb_votes	lhs	translation	translations	4	-2.229822397	2.779503107	-2.144194365	2.830380678
release_year	lhs	translation	translations	4	-0.893608212	-2.136244535	-1.480350852	-3.110558033
written_by	lhs	translation	translations	4	2.613873482	-2.250991583	0.251527011	-0.497668535
has_tags	lhs	translation	translations	4	-3.232919693	-1.407446742	-2.524396658	0.552294731
has_genre	lhs	translation	translations	4	-2.747209072	2.543527603	2.659642935	-2.003126860
has_imdb_rating	lhs	translation	translations	4	-2.239077091	-2.431607008	0.134984449	4.002333164
starred_actors	lhs	translation	translations	4	1.253621340	0.392751753	2.922441006	2.191089869
directed_by	lhs	translation	translations	4	2.040138245	-3.528931379	1.001831770	-0.446383476
in_language	lhs	translation	translations	4	-2.939409018	-2.170938492	2.228170633	1.542476654
has_imdb_votes	rhs	translation	translations	4	-1.852223516	1.430342436	1.395305514	-2.552572012
release_year	rhs	translation	translations	4	-0.700538814	2.920002222	1.214094281	0.466245413
written_by	rhs	translation	translations	4	-1.728048086	2.940899849	0.664931953	-1.941020846
has_tags	rhs	translation	translations	4	-0.478294432	2.345420837	1.772480130	-2.874572039
has_genre	rhs	translation	translations	4	0.232770652	1.496387482	-0.659438133	-1.138355017
has_imdb_rating	rhs	translation	translations	4	-1.535612345	2.507485628	1.323501706	-2.815627575
starred_actors	rhs	translation	translations	4	-1.032724977	2.557003021	-0.019280890	-2.506106138
directed_by	rhs	translation	translations	4	-1.537633896	2.944100618	0.281016201	-1.649905801
in_language	rhs	translation	translations	4	-0.643193901	2.986627340	-0.740614176	-1.132958293
